"type","type1","ask"
"__label__1","预约时间","9   点 到   就 行 了"
"__label__0","未知","生 日   帽   都   自 带   的   吧"
"__label__1","预约时间","预 计   2 0 . 3 0   几 点   可 以   送 到"
"__label__0","未知","人 工   服 务"
"__label__0","未知","人 工   服 务   有   吗"
"__label__0","未知","请 问   可 以   吗   ，   我   想   预 订"
"__label__0","未知","你 好   ，   请 问   我   的   订 单   出 了 吗   ？"
"__label__0","未知","越 快 越 好   谢 谢"
"__label__0","未知","时 间   上   你 们   那 个   时 间   太 晚   了"
"__label__1","预约时间","帮   我   尽 量   早   一 点   ，   九 点 钟   之 前   最 好"
"__label__0","未知","还   没   送 到"
"__label__0","未知","还   没   送 到"
"__label__0","未知","还   没   送 到"
"__label__0","未知","刚   收 到"
"__label__0","未知","在   吗"
"__label__0","未知","我   另 外   拍   一 个"
"__label__0","未知","榴 莲   千 层   9 9   的   那 款"
"__label__0","未知","是   有   蜡 烛   的   吗"
"__label__0","未知","去   哪 里   买"
"__label__0","未知","怎 么   买"
"__label__0","未知","那 个   数 字   蜡 烛   是   一 个   数 字   7 . 9   元   意 思   吗"
"__label__0","未知","o k"
"__label__1","预约时间","现 在   买   了   1 9   :   0 0   能   送   吗"
"__label__0","未知","请 问   一 下   这 个   蛋 糕   的   夹 心   是   什 么"
"__label__0","未知","请   看   下   备 注"
"__label__1","预约时间","如 果   不 能   在   六 七 点   配 送   通 知   我   取 消"
"__label__0","未知","那   为 什 么   可 以   下 单   ？   ？"
"__label__0","未知","怎 么 回 事"
"__label__0","未知","好   的"
"__label__0","未知","没 事   了   ，   谢 谢"
"__label__0","未知","可 以   ，   谢 谢"
"__label__0","未知","我   看   美 图   可 以   下 单"
"__label__0","未知","O K   ，   我   提 前   下 单"
"__label__0","未知","O K"
"__label__0","未知","O K   ，   可 以   送 到   酒 店   的   房 间   对   吧"
"__label__0","未知","可 以"
"__label__0","未知","提 前   多 久   通 知   你 送   ？"
"__label__0","未知","1   个   小 时   ，   可 以   吗   ？"
"__label__1","预约时间","好   ，   我 先   下 单   ，   明 天   提 前   2   小 时   通 知   你   送   ，   对 吗   ？"
"__label__0","未知","保 利   大 都   汇   c   区   4   栋   6   楼   6 1 0   室"
"__label__0","未知","好   的   ，   谢 谢   ！"
"__label__0","未知","生 日 蛋 糕   ，   蛋 糕   有 点   黑   ，   有   红 色   可 以   点 缀   吗   ？"
